source,mode,step,sim_time,obs_joint_pos_rel_0,obs_joint_pos_rel_1,obs_joint_pos_rel_2,obs_joint_pos_rel_3,obs_joint_pos_rel_4,obs_joint_pos_rel_5,obs_joint_pos_rel_6,obs_joint_pos_rel_7,obs_joint_pos_rel_8,obs_joint_vel_0,obs_joint_vel_1,obs_joint_vel_2,obs_joint_vel_3,obs_joint_vel_4,obs_joint_vel_5,obs_joint_vel_6,obs_joint_vel_7,obs_joint_vel_8,obs_object_pos_b_0,obs_object_pos_b_1,obs_object_pos_b_2,obs_place_target_0,obs_place_target_1,obs_place_target_2,obs_place_target_3,obs_place_target_4,obs_place_target_5,obs_place_target_6,obs_transport_phase_0,obs_last_action_0,obs_last_action_1,obs_last_action_2,obs_last_action_3,obs_last_action_4,obs_last_action_5,obs_last_action_6,obs_last_action_7,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,arm_target_0,arm_target_1,arm_target_2,arm_target_3,arm_target_4,arm_target_5,arm_target_6,gripper_target_0,gripper_target_1
isaac,policy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000059604645,-0.10000000149011612,0.02500000037252903,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.935522079467773,6.997474193572998,-6.900917053222656,4.442236423492432,0.8917189836502075,1.2920732498168945,2.3217945098876953,3.814816951751709,-2.9677610397338867,2.929737091064453,-3.450458526611328,-0.5888817310333252,0.44585949182510376,3.6830365657806396,1.9018971920013428,0.03999999910593033,0.03999999910593033
isaac,policy,1,0.02,-0.03113710694015026,0.03506988286972046,-0.017995435744524002,0.03133225440979004,-0.04340052977204323,0.03547191619873047,0.05225348472595215,-0.00021358579397201538,0.0,-2.162391424179077,2.174997568130493,-1.3128305673599243,2.1750006675720215,-2.6094295978546143,1.9742648601531982,2.6099441051483154,0.006627508904784918,0.0030993230175226927,0.4000000059604645,-0.10000000149011612,0.022057004272937775,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-5.935522079467773,6.997474193572998,-6.900917053222656,4.442236423492432,0.8917189836502075,1.2920732498168945,2.3217945098876953,3.814816951751709,-7.848787307739258,8.897592544555664,-3.4553027153015137,5.480021953582764,1.0609041452407837,0.7680751085281372,2.8315460681915283,4.362825870513916,-3.924393653869629,3.879796266555786,-1.7276513576507568,-0.06998896598815918,0.5304520726203918,3.421037435531616,2.156773090362549,0.03999999910593033,0.03999999910593033
isaac,policy,2,0.04,-0.06113189086318016,0.07879140973091125,-0.05893634632229805,0.07398128509521484,-0.01012186799198389,0.08754158020019531,0.1038280725479126,-8.95373523235321e-05,0.0,-1.6096711158752441,2.174997568130493,-2.174999952316284,2.1622095108032227,2.6099939346313477,2.6100003719329834,2.535325050354004,0.017925024032592773,0.03195475414395332,0.3999994397163391,-0.09999937564134598,0.021999921649694443,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-7.848787307739258,8.897592544555664,-3.4553027153015137,5.480021953582764,1.0609041452407837,0.7680751085281372,2.8315460681915283,4.362825870513916,-6.95407772064209,7.474389553070068,-0.12226515263319016,4.846482753753662,-1.850746512413025,-2.0791993141174316,2.3696396350860596,6.127689361572266,-3.477038860321045,3.1681947708129883,-0.06113257631659508,-0.38675856590270996,-0.9253732562065125,1.9974002838134766,1.9258198738098145,0.03999999910593033,0.03999999910593033
isaac,policy,3,0.06,-0.10577110946178436,0.121967613697052,-0.0971621721982956,0.11803412437438965,-0.05709387734532356,0.04574227333068848,0.154044508934021,0.0,0.0,-2.1750028133392334,2.172656774520874,-1.7260819673538208,2.1570942401885986,-2.1130170822143555,-2.4994022846221924,2.2893223762512207,0.017340438440442085,0.0025371545925736427,0.39999938011169434,-0.0999993309378624,0.0219999011605978,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-6.95407772064209,7.474389553070068,-0.12226515263319016,4.846482753753662,-1.850746512413025,-2.0791993141174316,2.3696396350860596,6.127689361572266,-5.044869899749756,7.1343913078308105,2.56713604927063,3.8680479526519775,-2.0250344276428223,-2.6595661640167236,2.026068925857544,8.097390174865723,-2.522434949874878,2.9981956481933594,1.283568024635315,-0.8759759664535522,-1.0125172138214111,1.7072168588638306,1.7540345191955566,0.03999999910593033,0.03999999910593033
isaac,policy,4,0.08,-0.1585274189710617,0.16562572121620178,-0.0907171219587326,0.1613750457763672,-0.06857342272996902,-0.005040407180786133,0.19133120775222778,0.0,-0.00010463222861289978,-2.175001382827759,2.1674559116363525,1.1961065530776978,2.1152217388153076,1.495288610458374,-2.398348093032837,0.6284961104393005,0.012499545700848103,0.004797970410436392,0.39999938011169434,-0.0999993234872818,0.021999893710017204,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-5.044869899749756,7.1343913078308105,2.56713604927063,3.8680479526519775,-2.0250344276428223,-2.6595661640167236,2.026068925857544,8.097390174865723,-4.816965579986572,6.239809513092041,1.708624243736267,2.8330094814300537,-2.50312876701355,-2.7362711429595947,0.971748411655426,9.555290222167969,-2.408482789993286,2.5509047508239746,0.8543121218681335,-1.3934952020645142,-1.251564383506775,1.668864369392395,1.2268742322921753,0.03999999910593033,0.03999999910593033
isaac,policy,5,0.1,-0.20800942182540894,0.20926031470298767,-0.051309939473867416,0.20499157905578613,-0.10066606104373932,-0.05672144889831543,0.24351000785827637,0.0,-0.000165548175573349,-2.174999713897705,2.175001382827759,2.1453850269317627,2.174565553665161,-1.5902786254882812,-2.5857961177825928,2.595918655395508,0.011089115403592587,-0.0003861929289996624,0.39999935030937195,-0.0999993309378624,0.02199988067150116,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-4.816965579986572,6.239809513092041,1.708624243736267,2.8330094814300537,-2.50312876701355,-2.7362711429595947,0.971748411655426,9.555290222167969,-4.829820156097412,7.162120342254639,1.0510183572769165,2.49462890625,-2.588765859603882,-2.7810707092285156,-0.501991868019104,10.166955947875977,-2.414910078048706,3.0120601654052734,0.5255091786384583,-1.562685489654541,-1.294382929801941,1.6464645862579346,0.4900040626525879,0.03999999910593033,0.03999999910593033
isaac,policy,6,0.12,-0.25181952118873596,0.25288596749305725,-0.007854657247662544,0.24824881553649902,-0.15031099319458008,-0.10882115364074707,0.19130706787109375,0.0,0.0,-2.169976234436035,2.1749706268310547,2.175004482269287,2.1750056743621826,-2.6097400188446045,-2.6096737384796143,-2.6100001335144043,0.008778435178101063,0.025277743116021156,0.39999935030937195,-0.0999993160367012,0.021999910473823547,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-4.829820156097412,7.162120342254639,1.0510183572769165,2.49462890625,-2.588765859603882,-2.7810707092285156,-0.501991868019104,10.166955947875977,-4.85800838470459,6.575274467468262,0.8712573051452637,1.776077389717102,-1.8638948202133179,-2.434788942337036,0.28725674748420715,11.18615436553955,-2.429004192352295,2.718637228012085,0.43562865257263184,-1.9219613075256348,-0.9319474101066589,1.8196054697036743,0.8846283555030823,0.03999999910593033,0.03999999910593033
isaac,policy,7,0.14,-0.2943311333656311,0.29652976989746094,0.03566640242934227,0.2912170886993408,-0.20247256755828857,-0.1610546112060547,0.17473524808883667,0.0,0.0,-2.1265952587127686,2.1749846935272217,2.175029993057251,2.174907922744751,-2.610002040863037,-2.6099185943603516,-0.632020115852356,0.002936319913715124,0.013178550638258457,0.39999938011169434,-0.0999993309378624,0.021999886259436607,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-4.85800838470459,6.575274467468262,0.8712573051452637,1.776077389717102,-1.8638948202133179,-2.434788942337036,0.28725674748420715,11.18615436553955,-4.256628036499023,6.516761779785156,0.8922061324119568,1.1543521881103516,-1.482022762298584,-3.033489942550659,0.1064494252204895,11.088801383972168,-2.1283140182495117,2.6893808841705322,0.4461030662059784,-2.2328238487243652,-0.741011381149292,1.5202549695968628,0.794224739074707,0.03999999910593033,0.03999999910593033
isaac,policy,8,0.16,-0.33647406101226807,0.3401581645011902,0.07918854802846909,0.33229970932006836,-0.25434610247612,-0.21323370933532715,0.13532572984695435,0.0,0.0,-2.114738702774048,2.1752607822418213,2.175074815750122,2.0940165519714355,-2.5966591835021973,-2.609997034072876,-1.6646971702575684,0.0056020901538431644,0.019743893295526505,0.39999935030937195,-0.0999993309378624,0.021999867632985115,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-4.256628036499023,6.516761779785156,0.8922061324119568,1.1543521881103516,-1.482022762298584,-3.033489942550659,0.1064494252204895,11.088801383972168,-3.946070432662964,5.853170871734619,0.8368942737579346,0.37072622776031494,-0.9271472692489624,-3.441046714782715,0.32729265093803406,11.241679191589355,-1.973035216331482,2.3575854301452637,0.4184471368789673,-2.6246368885040283,-0.4635736346244812,1.316476583480835,0.9046463370323181,0.03999999910593033,0.03999999910593033
isaac,policy,9,0.18,-0.37854498624801636,0.38320183753967285,0.12264569103717804,0.36243200302124023,-0.30714350938796997,-0.25517964363098145,0.14334774017333984,0.0,0.0,-2.1376960277557373,2.113011598587036,2.1730849742889404,1.1067060232162476,-2.6100013256073,-1.5823588371276855,0.4000779092311859,0.0004965681582689285,0.005134910810738802,0.39999935030937195,-0.0999993309378624,0.021999916061758995,0.5,0.0,0.30000001192092896,1.0,0.0,0.0,0.0,0.0,-3.946070432662964,5.853170871734619,0.8368942737579346,0.37072622776031494,-0.9271472692489624,-3.441046714782715,0.32729265093803406,11.241679191589355,-3.495821714401245,5.932962894439697,0.7185239195823669,0.5064394474029541,-0.13836951553821564,-3.7958953380584717,-0.2730899453163147,10.569408416748047,-1.7479108572006226,2.3974814414978027,0.35926195979118347,-2.5567803382873535,-0.06918475776910782,1.1390522718429565,0.6044549942016602,0.03999999910593033,0.03999999910593033
